1.13.12.2	00310
1.13.12.3	00380 01070
1.13.12.4	00620
1.13.12.9	00360
1.13.99.1	00053 00562
1.13.99.3	00380
1.14.-.-	00053 00100 00130 00361 00380 00402 00600 00626 00627 00903 00904 00905 00906 00940 00945 00966 01061 01062 01070 01100
1.14.11.-	00260 00402 00904
1.14.11.1	00310
1.14.11.11	00960 01064 01100
1.14.11.12	00904 01062 01070 01100
1.14.11.13	00904
1.14.11.14	00960 01064 01100
1.14.11.15	00904 01062 01070 01100
1.14.11.17	00430
1.14.11.19	00941 01061 01100
1.14.11.2	00330 01100
1.14.11.20	00901 01063
1.14.11.21	00331
1.14.11.22	00941 00943 01061 01100
1.14.11.23	00941 01061 01100
1.14.11.26	00311 01100
1.14.11.4	00310
1.14.11.8	00310
1.14.11.9	00941 01061 01100
1.14.12.-	00361 00364 00622 00623 00624 00628 01100
1.14.12.1	00362 00629 00910
1.14.12.10	00362 00364 00632 01100
1.14.12.11	00622
1.14.12.12	00624 00626 00628 00642 01100
1.14.12.13	00632
1.14.12.14	00362
1.14.12.15	00623
1.14.12.18	00621 01100
1.14.12.19	00360
1.14.12.3	00626
1.14.12.4	00750
1.14.12.5	00750
1.14.12.7	00623 01100
1.14.12.8	00623
1.14.13.-	00130 00340 00360 00361 00363 00380 00460 00622 00624 00626 00627 00632 00643 00680 00903 00905 00906 00940 00941 00943 00945 00950 00966 01061 01062 01063 01070 01100
1.14.13.1	00120 00624 00626 00628 01100
1.14.13.10	00760
1.14.13.100	00120
1.14.13.11	00360 00940 00941 00945 01061 01063 01100
1.14.13.12	00362 00632 01100
1.14.13.13	00100 01100
1.14.13.14	00360 00940
1.14.13.15	00120 01066 01100
1.14.13.17	00120 01100
1.14.13.18	00350
1.14.13.2	00362 00623 01100
1.14.13.20	00627 01100
1.14.13.21	00941 00944 01061 01100
1.14.13.22	00930
1.14.13.23	00362 00623
1.14.13.24	00362
1.14.13.25	00680 01100
1.14.13.27	00623
1.14.13.28	00943
1.14.13.29	00361
1.14.13.3	00350
1.14.13.30	00590 01100
1.14.13.33	00362 00623 01100
