C00140	00520 02010 02060
C00141	00280 00290 00770 00966 01100
C00143	00260 00630 00670 00680 01100
C00144	00230 01060 01065 01100 04742
C00146	00350 00626 00632
C00147	00230 00908 01100
C00148	00330 00401 00970 01100 02010
C00149	00020 00620 00630 00710 00720 01060 01061 01062 01063 01064 01065 01066 01070 01100 02020 05200 05211
C00151	00460 00480 01100 02010
C00152	00250 00253 00460 00910 00970 01060 01100
C00153	00760 01100
C00154	00062 00071 00563 00600 01040 01070 01100
C00155	00270 00920 01100
C00156	00130 00360 00362 00363 00622 00623 00632 01061 01100 07110
C00157	00564 00590 00591 00592 01100
C00158	00020 00630 00720 01060 01061 01062 01063 01064 01065 01066 01070 01100 02020
C00159	00051 00052 00520 01100 02060 04142
C00160	00361 00630 00631 01100
C00162	00071 00561 04920 04930
C00163	00640 00642 00760 01100
C00164	00072 00280 00350 00640 00643 00650 01100 02020
C00165	04010 04012 04020 04062 04070 04270 04370 04540 04650 04660 04662 04664 04666 04720 04722 04730 04912 04916 04920 05110 05200 05214 05223
C00166	00360 00400 01060 01100
C00167	00040 00053 00500 00520 01100
C00168	00260 00630 01100
C00169	00230 00240 00250 00330 00910 01100
C00170	00270 00908 01060 01100
C00173	00071
C00175	02010
C00177	00460 01100
C00178	00240 01100
C00179	00330 01100
C00180	00360 00362 00621 00622 00632 00960 01100
C00181	00040 00500 00520 01100 02010
C00183	00280 00290 00311 00640 00770 00966 00970 01060 01063 01100 02010
C00184	00561 00680 01100
C00185	00500 02010 02060
C00186	00010 00620 00640 00643 01100
C00187	00100 00120 00140 00981 01066 01100 04340 05200 05217
C00188	00260 00290 00860 00970 01060 01100 02010
C00189	00440 00564 01100
C00190	00500 00520 00908 01100
C00191	00040 00053 00500 00520 00562 01100
C00192	00910
C00194	00860 01100
C00195	00600 01100 04722 04920
C00196	00362 00629 01053 01061
C00197	00010 00260 00561 00630 00710 01060 01061 01062 01063 01064 01065 01066 01070 01100
C00198	00030 01100
C00199	00030 00040 00680 00710 00740 00750 01100
C00201	03018
C00203	00520 01100
C00204	00030 00040 01100
C00206	00230 01100
C00207	00072 00640 01100
C00208	00500 01100 02010 02030 02060
C00209	00630 01100
C00212	00230 01100 04080 04270
C00213	00260 00330 01100
C00214	00240 01100
C00217	00471 00750 01100
C00218	00680
C00219	00590 00591 01040 01100 04270 04664 04666 04730 04912 07034
C00221	00010 00030 00500 01100
C00222	00410 00562 00640 00641 01100
C00223	00130 00940 00941 00945 01061 01100
C00224	00230 00920 01100
C00226	00071
C00227	00430 00620 01100
C00229	00061 00071 00540 00770
C00230	00362 00400 00623 01061 01100
C00231	00030 00040 00053 00680 00710 01100
C00232	00250 00350 00650 00750 01100
C00233	00280 00290 00966 01100
C00234	00630 00670 00970 01100
C00235	00900 00908 01060 01062 01070 01100
C00236	00010 00710 01060 01061 01062 01063 01100
C00237	00680
